Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-04-23 00:00:00-04:00,84.86247944834373,85.63717119373742,84.69032491638426,85.14939880371094,27222700,0.0,0.0,0.0
2024-04-24 00:00:00-04:00,84.69985900508142,84.76680756476365,83.68606444508023,84.54683685302734,48986800,0.0,0.0,0.0
2024-04-25 00:00:00-04:00,83.647821028685,84.06864478647383,83.53304892287525,83.95387268066406,49282600,0.0,0.0,0.0
2024-04-26 00:00:00-04:00,84.40339551295791,84.74770456565376,84.21211594894805,84.39382934570312,31589800,0.0,0.0,0.0
2024-04-29 00:00:00-04:00,84.79553368751063,85.13983546602562,84.62337914982908,85.1015853881836,39228600,0.0,0.0,0.0
2024-04-30 00:00:00-04:00,84.56597436672854,84.8624671435196,84.25992272060478,84.37469482421875,41054700,0.0,0.0,0.0
2024-05-01 00:00:00-04:00,85.03501158198945,85.62046767521295,84.6894962704998,84.99662017822266,59679500,0.308,0.0,0.0
2024-05-02 00:00:00-04:00,84.66071300924438,85.42852651649234,84.48795533623421,85.36134338378906,58925400,0.0,0.0,0.0
2024-05-03 00:00:00-04:00,86.31150303825574,86.49386038555987,85.67805582493315,86.2251205444336,50066100,0.0,0.0,0.0
2024-05-06 00:00:00-04:00,86.2539112613187,86.61861859829611,86.0619542504796,86.56103515625,23868200,0.0,0.0,0.0
2024-05-07 00:00:00-04:00,87.24247859458566,87.56879457624399,86.96414638071765,87.08891296386719,30525800,0.0,0.0,0.0
2024-05-08 00:00:00-04:00,86.67620204034222,86.82016796786873,86.53224343522695,86.56103515625,31171700,0.0,0.0,0.0
2024-05-09 00:00:00-04:00,86.2539226322297,87.11770366643908,86.20593154259042,86.98333740234375,39606700,0.0,0.0,0.0
2024-05-10 00:00:00-04:00,86.64741663485489,86.74339148606421,86.34029271753802,86.49385833740234,21913800,0.0,0.0,0.0
2024-05-13 00:00:00-04:00,86.90656428014891,86.96414773135652,86.67621583049365,86.71460723876953,23157500,0.0,0.0,0.0
2024-05-14 00:00:00-04:00,87.00253690724342,87.26166975344101,86.78178814592441,87.20408630371094,25746400,0.0,0.0,0.0
2024-05-15 00:00:00-04:00,88.1734464951139,88.54775355169632,87.94309805843854,88.3941879272461,65142900,0.0,0.0,0.0
2024-05-16 00:00:00-04:00,88.67251527685475,88.70130699926045,88.24062479594612,88.30780792236328,37902400,0.0,0.0,0.0
2024-05-17 00:00:00-04:00,87.95270173257792,88.1062673639982,87.66476983487104,87.71276092529297,24755000,0.0,0.0,0.0
2024-05-20 00:00:00-04:00,87.41523713197996,87.64557825792217,87.34805399847964,87.45362854003906,17922800,0.0,0.0,0.0
2024-05-21 00:00:00-04:00,88.03907480722583,88.07745888855997,87.75114294033895,87.90470123291016,15334400,0.0,0.0,0.0
2024-05-22 00:00:00-04:00,87.59757835234343,88.08705960282516,87.58798599310322,88.0102767944336,38073700,0.0,0.0,0.0
2024-05-23 00:00:00-04:00,88.10626206376412,88.10626206376412,87.1656909339279,87.44402313232422,51294700,0.0,0.0,0.0
2024-05-24 00:00:00-04:00,87.30965642697232,87.78953801021618,87.24247329821466,87.70315551757812,19151400,0.0,0.0,0.0
2024-05-28 00:00:00-04:00,87.65518084062346,87.68397256701726,86.40748566586603,86.44587707519531,45973700,0.0,0.0,0.0
2024-05-29 00:00:00-04:00,85.74523485922627,85.80282562649437,85.11179499857016,85.39972686767578,45508400,0.0,0.0,0.0
2024-05-30 00:00:00-04:00,85.99477943159445,86.34989444413092,85.84122113050567,86.2251205444336,29571700,0.0,0.0,0.0
2024-05-31 00:00:00-04:00,86.83937643903326,87.01213410570395,86.61862768401603,86.81057739257812,41308800,0.0,0.0,0.0
2024-06-03 00:00:00-04:00,87.29017124766212,88.2821038429306,87.26128114837176,88.21469116210938,42272100,0.308,0.0,0.0
2024-06-04 00:00:00-04:00,88.79251654945053,89.37034793382779,88.59027850389099,89.24514770507812,42581500,0.0,0.0,0.0
2024-06-05 00:00:00-04:00,89.56295337585799,89.90001678466797,88.9754968573186,89.90001678466797,43153900,0.0,0.0,0.0
2024-06-06 00:00:00-04:00,89.48590691912297,89.97706064911223,89.42812672057052,89.76519012451172,22891900,0.0,0.0,0.0
2024-06-07 00:00:00-04:00,88.43618343402555,88.43618343402555,88.02207491712522,88.11837768554688,35240500,0.0,0.0,0.0
2024-06-10 00:00:00-04:00,87.63687246361872,87.69465266571332,87.29980903901419,87.53093719482422,20593200,0.0,0.0,0.0
2024-06-11 00:00:00-04:00,87.66577355314482,88.47473322102644,87.55983827107184,88.43621063232422,30329200,0.0,0.0,0.0
2024-06-12 00:00:00-04:00,89.5822216906277,90.11189807303126,89.07181027527453,89.10070037841797,42554600,0.0,0.0,0.0
2024-06-13 00:00:00-04:00,89.77481907742575,90.51635853694421,89.51479349929981,90.4104232788086,33093800,0.0,0.0,0.0
2024-06-14 00:00:00-04:00,90.93046589022356,91.33494195372553,90.75711795623262,91.17122650146484,28776700,0.0,0.0,0.0
2024-06-17 00:00:00-04:00,90.06373817551474,90.34302140331896,89.8326100153233,90.26598358154297,31040200,0.0,0.0,0.0
2024-06-18 00:00:00-04:00,90.42006564977412,91.1038249877934,90.26598266036285,91.09419250488281,26881000,0.0,0.0,0.0
2024-06-20 00:00:00-04:00,89.95780356696014,90.52599511592076,89.89038353833988,90.48747253417969,30246300,0.0,0.0,0.0
2024-06-21 00:00:00-04:00,90.75712325893599,90.98825874938242,90.13114416364817,90.48747253417969,22830900,0.0,0.0,0.0
2024-06-24 00:00:00-04:00,90.57414061275237,90.8534164428711,90.27559247265204,90.8534164428711,56939100,0.0,0.0,0.0
2024-06-25 00:00:00-04:00,90.5933987959362,91.0556623834683,90.56450869935865,91.00750732421875,23160000,0.0,0.0,0.0
2024-06-26 00:00:00-04:00,89.83261324300803,90.01559368959293,89.66889776313312,89.7074203491211,38489100,0.0,0.0,0.0
2024-06-27 00:00:00-04:00,90.0637435913086,90.24672404232216,89.96744079772384,90.0637435913086,23140800,0.0,0.0,0.0
2024-06-28 00:00:00-04:00,90.26596810939093,90.3044833399613,88.38803100585938,88.38803100585938,55119600,0.0,0.0,0.0
2024-07-01 00:00:00-04:00,87.35526499760081,87.99289822001282,86.77560312228124,86.86255645751953,49735400,0.291,0.0,0.0
2024-07-02 00:00:00-04:00,87.60646835418389,87.73205944625893,87.02680638728106,87.5388412475586,34204700,0.0,0.0,0.0
2024-07-03 00:00:00-04:00,88.07986334281797,88.77546069282204,88.00257311041703,88.68851470947266,35563300,0.0,0.0,0.0
2024-07-05 00:00:00-04:00,89.14255799147767,89.58697304143158,88.78510364672422,89.4227294921875,34895500,0.0,0.0,0.0
2024-07-08 00:00:00-04:00,89.40342236354427,89.70291277189128,89.0942688343727,89.615966796875,16095700,0.0,0.0,0.0
2024-07-09 00:00:00-04:00,89.335783955633,89.53866524246844,88.7561220831317,89.2198486328125,30289800,0.0,0.0,0.0
2024-07-10 00:00:00-04:00,89.3164680778511,89.5386756296681,89.13291300892554,89.50003051757812,23572500,0.0,0.0,0.0
2024-07-11 00:00:00-04:00,90.50478393494389,90.94919168061904,90.30190261870969,90.3695297241211,49761800,0.0,0.0,0.0
2024-07-12 00:00:00-04:00,90.35985174001573,90.7559585571289,90.17628932517788,90.7559585571289,27796500,0.0,0.0,0.0
2024-07-15 00:00:00-04:00,89.84782439017016,90.13765903007179,89.63527997034912,89.71257019042969,37918900,0.0,0.0,0.0
2024-07-16 00:00:00-04:00,90.35985008676907,91.01680214960007,90.22459590066859,90.97815704345703,36383700,0.0,0.0,0.0
2024-07-17 00:00:00-04:00,90.73664489390295,91.20037886957466,90.51444471221973,90.99749755859375,29036800,0.0,0.0,0.0
2024-07-18 00:00:00-04:00,90.50476879450143,90.94917646583211,90.21493417933773,90.30188751220703,34553100,0.0,0.0,0.0
2024-07-19 00:00:00-04:00,89.88648130481907,90.00241665016549,89.673936857085,89.77054595947266,32164700,0.0,0.0,0.0
2024-07-22 00:00:00-04:00,90.23428394588005,90.35021192553234,89.17156903118729,89.50970458984375,36160400,0.0,0.0,0.0
2024-07-23 00:00:00-04:00,89.66427342318521,89.87681787017871,89.35511987414067,89.38410186767578,23498000,0.0,0.0,0.0
2024-07-24 00:00:00-04:00,89.4517090193978,89.7028985253314,88.369675524546,88.41797637939453,50757100,0.0,0.0,0.0
2024-07-25 00:00:00-04:00,88.91071479889987,89.71258437471552,88.84308768833725,89.142578125,44999100,0.0,0.0,0.0
2024-07-26 00:00:00-04:00,89.79951254532385,89.9927380877476,89.56764926521612,89.8381576538086,34423800,0.0,0.0,0.0
2024-07-29 00:00:00-04:00,90.49511207579263,90.51443831593072,90.06036749309825,90.32121276855469,25801300,0.0,0.0,0.0
2024-07-30 00:00:00-04:00,90.57239726473398,90.86223188430135,90.13765270618347,90.66900634765625,28169800,0.0,0.0,0.0
2024-07-31 00:00:00-04:00,91.32595768615575,91.6254480520135,91.04578618840473,91.59646606445312,47445300,0.0,0.0,0.0
2024-08-01 00:00:00-04:00,92.22169093587578,92.9680762258669,92.20230766649954,92.386474609375,77254200,0.315,0.0,0.0
